Date,Open,High,Low,Close,Adj Close,Volume
06-mai-19,84.209999,85.419998,82.739998,84.930000,76.202904,570500
06-juin-19,84.040001,85.980003,82.989998,85.699997,76.893776,607600
06-juil.-19,85.849998,88.160004,85.279999,87.680000,78.670319,633000
06-oct.-19,88.650002,92.669998,88.519997,90.529999,81.227448,652500
06-nov.-19,91.639999,92.230003,89.839996,90.720001,81.397949,610000
06-déc.-19,90.599998,91.550003,88.889999,89.160004,79.998230,385600
13-juin-19,89.650002,90.320000,89.269997,90.269997,80.994171,224000
14-juin-19,89.949997,90.059998,88.570000,89.599998,80.393021,379000
17-juin-19,89.739998,90.449997,88.820000,89.919998,80.680161,346000
18-juin-19,90.989998,93.959999,90.839996,93.400002,83.802551,658800
19-juin-19,93.309998,93.669998,91.529999,91.980003,82.528458,373000
20-juin-19,93.559998,94.550003,92.080002,92.750000,83.219345,322400
21-juin-19,92.459999,93.489998,91.279999,91.839996,82.402855,804900
24-juin-19,92.370003,92.370003,90.580002,90.660004,81.344116,488700
25-juin-19,90.870003,91.269997,86.860001,87.110001,78.158890,649700
26-juin-19,87.589996,89.610001,87.529999,88.839996,79.711105,443700
27-juin-19,89.419998,90.239998,88.370003,88.820000,79.693176,343000
28-juin-19,89.300003,92.269997,89.300003,91.230003,81.855530,1004300
07-janv.-19,92.709999,94.910004,89.720001,90.180000,80.913422,471000
07-févr.-19,89.860001,89.860001,87.120003,87.529999,78.535744,951100
07-mars-19,87.769997,89.559998,87.529999,88.540001,79.441956,418000
07-mai-19,88.040001,88.750000,84.010002,84.190002,75.538940,733700
07-août-19,83.790001,85.860001,83.260002,84.029999,75.395393,814200
07-sept.-19,83.000000,83.190002,81.019997,82.389999,73.923897,1258100
07-oct.-19,83.099998,84.940002,82.110001,84.000000,75.368454,669300
07-nov.-19,84.129997,84.730003,82.870003,83.720001,75.117233,339500
07-déc.-19,84.160004,87.129997,83.879997,86.430000,77.548752,555000
15-juil.-19,86.580002,87.660004,84.860001,86.400002,77.521851,470600
16-juil.-19,86.139999,87.930000,85.580002,87.370003,78.392174,417600
17-juil.-19,87.349998,87.629997,86.169998,86.400002,77.521851,486600
18-juil.-19,86.360001,87.199997,85.040001,85.559998,76.768158,499600
19-juil.-19,85.639999,87.040001,84.150002,84.260002,75.601753,510900
22-juil.-19,83.889999,84.860001,82.440002,82.629997,74.139244,1200700
23-juil.-19,86.879997,93.660004,86.019997,92.389999,82.896339,3253400
24-juil.-19,93.129997,95.860001,92.699997,95.019997,85.256088,1170100
25-juil.-19,94.470001,95.669998,92.830002,93.190002,83.614128,680400
26-juil.-19,93.860001,94.099998,92.370003,93.529999,83.919174,502600
29-juil.-19,92.529999,95.120003,91.889999,94.169998,84.493423,804900
30-juil.-19,93.489998,94.790001,92.220001,94.750000,85.013832,539200
31-juil.-19,96.029999,96.680000,93.760002,94.669998,84.942055,796800
08-janv.-19,94.320000,95.110001,89.180000,91.849998,82.411827,1107500
08-févr.-19,91.099998,93.870003,90.349998,92.300003,82.815590,579600
